timestamp,month,hour,T_amb,GHI,DNI,DHI,wind_speed,RH
2018-01-01 00:00:00,1,0,3.68,0.0,-0.0,0.0,0.58,83.49
2018-01-01 01:00:00,1,1,4.37,0.0,-0.0,0.0,0.59,82.28
2018-01-01 02:00:00,1,2,5.05,0.0,-0.0,0.0,0.61,81.08
2018-01-01 03:00:00,1,3,5.74,0.0,-0.0,0.0,0.62,79.88
2018-01-01 04:00:00,1,4,6.42,0.0,-0.0,0.0,0.63,78.68
2018-01-01 05:00:00,1,5,7.11,64.0,54.35,56.0,0.64,77.48
2018-01-01 06:00:00,1,6,7.79,37.0,0.0,37.0,0.65,76.27
2018-01-01 07:00:00,1,7,8.48,66.0,0.0,66.0,0.66,75.07
2018-01-01 08:00:00,1,8,9.3,65.0,0.0,65.0,1.17,74.15
2018-01-01 09:00:00,1,9,9.35,82.0,0.0,82.0,1.45,76.95
2018-01-01 10:00:00,1,10,9.17,121.0,0.0,121.0,1.38,76.95
2018-01-01 11:00:00,1,11,9.52,179.0,69.63,155.0,1.17,74.2
2018-01-01 12:00:00,1,12,9.42,22.0,0.0,22.0,1.38,76.95
2018-01-01 13:00:00,1,13,8.42,5.0,0.0,5.0,1.31,82.75
2018-01-01 14:00:00,1,14,7.19,0.0,-0.0,0.0,1.1,89.0
2018-01-01 15:00:00,1,15,6.53,0.0,-0.0,0.0,0.76,92.35
2018-01-01 16:00:00,1,16,6.22,0.0,-0.0,0.0,0.48,95.8
2018-01-01 17:00:00,1,17,5.4,0.0,-0.0,0.0,0.69,99.4
2018-01-01 18:00:00,1,18,4.75,0.0,-0.0,0.0,0.9,99.4
2018-01-01 19:00:00,1,19,4.85,0.0,-0.0,0.0,0.55,99.4
2018-01-01 20:00:00,1,20,4.1,0.0,-0.0,0.0,0.76,99.4
2018-01-01 21:00:00,1,21,3.78,0.0,-0.0,0.0,0.69,99.4
2018-01-01 22:00:00,1,22,3.31,0.0,-0.0,0.0,0.76,99.4
2018-01-01 23:00:00,1,23,3.02,0.0,-0.0,0.0,0.9,95.7
2018-01-02 00:00:00,1,0,3.66,0.0,-0.0,0.0,0.69,95.7
2018-01-02 01:00:00,1,1,4.5,0.0,-0.0,0.0,0.41,95.75
2018-01-02 02:00:00,1,2,4.79,0.0,-0.0,0.0,0.21,99.4
2018-01-02 03:00:00,1,3,4.89,0.0,-0.0,0.0,0.14,99.4
