T_melt_C,Baseline_kWh,PCM_kWh,Gain_kWh,Gain_pct,Mean_daytime_dT_C,Hrs_above_solidus_pct,Hrs_mushy_pct,Peak_T_PCM_C,Min_T_PCM_C
30.0,146.2924,146.1218,-0.1705,-0.1166,-0.088,49.18,10.78,65.26,9.85
32.0,146.2924,146.1248,-0.1676,-0.1145,-0.125,45.61,9.65,65.26,9.85
34.0,146.2924,146.1321,-0.1602,-0.1095,-0.145,42.93,9.38,65.26,9.85
36.0,146.2924,146.1386,-0.1538,-0.1051,-0.153,39.67,9.19,65.26,9.85
38.0,146.2924,146.1447,-0.1477,-0.1010,-0.143,36.87,9.24,65.26,9.85
40.0,146.2924,146.1463,-0.1460,-0.0998,-0.151,33.88,9.74,65.26,9.85
42.0,146.2924,146.1095,-0.1829,-0.1250,-0.193,30.12,9.47,65.26,9.85
44.0,146.2924,146.0751,-0.2173,-0.1485,-0.241,26.59,9.96,65.26,9.85
46.0,146.2924,145.9722,-0.3202,-0.2189,-0.349,21.65,8.74,65.26,9.85
48.0,146.2924,145.8817,-0.4107,-0.2807,-0.443,16.30,9.06,65.26,9.85
50.0,146.2924,145.6211,-0.6713,-0.4589,-0.665,8.11,4.85,65.24,9.85
52.0,146.2924,145.4626,-0.8298,-0.5672,-0.797,3.85,2.26,65.19,9.85
54.0,146.2924,145.3627,-0.9297,-0.6355,-0.879,1.36,0.91,64.99,9.85
56.0,146.2924,145.3322,-0.9602,-0.6563,-0.903,0.63,0.50,64.47,9.85
58.0,146.2924,145.3102,-0.9822,-0.6714,-0.921,0.14,0.05,61.50,9.85
60.0,146.2924,145.3112,-0.9812,-0.6707,-0.920,0.14,0.14,61.81,9.85
62.0,146.2924,145.3110,-0.9814,-0.6708,-0.920,0.09,0.09,62.35,9.85
